rank,function,log10_f_at_n_10^1000
1,"1/n",-1000.000000000000
2,"log2 n",3.521390227654
3,"12 sqrt(n)",501.079181246048
4,"50n^0.5",501.698970004336
5,"n^0.51",510.000000000000
6,"n log2 n",1003.521390227654
7,"2^32 n",1009.632959861247
8,"n^2 - 324",2000.000000000000
9,"100n^2 + 6n",2002.000000000000
10,"2n^3",3000.301029995664
11,"n^(log2 n)",3321928.094887362348
12,"3^n",4771212547196623972293602190829691866630682587265319757699982163552915571575150164845766162689172968035745815529120037275477033042811343119882589917805185459791440182579287812460453494921852059178859248484557215591926969556807680663922326846665912034720869022018603121098316338601176470661741000995688825822851664341827734429692413085721571168977622046558874085593295613583328668340064518589747489146834750609495160540531713901310152485915733324957393957233742592479950133824691877384769983624034974433208567558719406362695788256212462895953175333069846877423354645411227747530207838154155420356845377612300310311195353057512388844097320369315971339956090973619958700264967276960179370831791873957576742914408510457338258216187804884679649519805096756222430256856758981740126313589206771136146461798019746569930678688625997826421634763412177185661975644659122356592788948315602776191989521507976339943826784345295412505187630656490153458898145541446754802780508562621930889019443869622242481327308800.000000000000
