n,structure,operation,worst_case_count
10,"Unsorted Array","Search",10
10,"Unsorted Array","Insert",1
10,"Unsorted Array","Delete",9
10,"Unsorted Array","Maximum",9
10,"Unsorted Array","Minimum",9
10,"Unsorted Array","Predecessor",10
10,"Unsorted Array","Successor",10
10,"Sorted Array","Search",3
10,"Sorted Array","Insert",11
10,"Sorted Array","Delete",9
10,"Sorted Array","Maximum",1
10,"Sorted Array","Minimum",1
10,"Sorted Array","Predecessor",1
10,"Sorted Array","Successor",1
10,"Singly Linked Unsorted","Search",10
10,"Singly Linked Unsorted","Insert",1
10,"Singly Linked Unsorted","Delete",9
10,"Singly Linked Unsorted","Maximum",9
10,"Singly Linked Unsorted","Minimum",9
10,"Singly Linked Unsorted","Predecessor",10
10,"Singly Linked Unsorted","Successor",10
10,"Singly Linked Sorted","Search",10
10,"Singly Linked Sorted","Insert",10
10,"Singly Linked Sorted","Delete",9
10,"Singly Linked Sorted","Maximum",9
10,"Singly Linked Sorted","Minimum",1
10,"Singly Linked Sorted","Predecessor",9
10,"Singly Linked Sorted","Successor",1
10,"Doubly Linked Unsorted","Search",10
10,"Doubly Linked Unsorted","Insert",1
10,"Doubly Linked Unsorted","Delete",1
10,"Doubly Linked Unsorted","Maximum",9
10,"Doubly Linked Unsorted","Minimum",9
10,"Doubly Linked Unsorted","Predecessor",10
10,"Doubly Linked Unsorted","Successor",10
10,"Doubly Linked Sorted","Search",10
10,"Doubly Linked Sorted","Insert",11
10,"Doubly Linked Sorted","Delete",1
10,"Doubly Linked Sorted","Maximum",1
10,"Doubly Linked Sorted","Minimum",1
10,"Doubly Linked Sorted","Predecessor",1
10,"Doubly Linked Sorted","Successor",1
20,"Unsorted Array","Search",20
20,"Unsorted Array","Insert",1
20,"Unsorted Array","Delete",19
20,"Unsorted Array","Maximum",19
20,"Unsorted Array","Minimum",19
20,"Unsorted Array","Predecessor",20
20,"Unsorted Array","Successor",20
20,"Sorted Array","Search",4
20,"Sorted Array","Insert",21
20,"Sorted Array","Delete",19
20,"Sorted Array","Maximum",1
20,"Sorted Array","Minimum",1
20,"Sorted Array","Predecessor",1
20,"Sorted Array","Successor",1
20,"Singly Linked Unsorted","Search",20
20,"Singly Linked Unsorted","Insert",1
20,"Singly Linked Unsorted","Delete",19
20,"Singly Linked Unsorted","Maximum",19
20,"Singly Linked Unsorted","Minimum",19
20,"Singly Linked Unsorted","Predecessor",20
20,"Singly Linked Unsorted","Successor",20
20,"Singly Linked Sorted","Search",20
20,"Singly Linked Sorted","Insert",20
20,"Singly Linked Sorted","Delete",19
20,"Singly Linked Sorted","Maximum",19
20,"Singly Linked Sorted","Minimum",1
20,"Singly Linked Sorted","Predecessor",19
20,"Singly Linked Sorted","Successor",1
20,"Doubly Linked Unsorted","Search",20
20,"Doubly Linked Unsorted","Insert",1
20,"Doubly Linked Unsorted","Delete",1
20,"Doubly Linked Unsorted","Maximum",19
20,"Doubly Linked Unsorted","Minimum",19
20,"Doubly Linked Unsorted","Predecessor",20
20,"Doubly Linked Unsorted","Successor",20
20,"Doubly Linked Sorted","Search",20
20,"Doubly Linked Sorted","Insert",21
20,"Doubly Linked Sorted","Delete",1
20,"Doubly Linked Sorted","Maximum",1
20,"Doubly Linked Sorted","Minimum",1
20,"Doubly Linked Sorted","Predecessor",1
20,"Doubly Linked Sorted","Successor",1
50,"Unsorted Array","Search",50
50,"Unsorted Array","Insert",1
50,"Unsorted Array","Delete",49
50,"Unsorted Array","Maximum",49
50,"Unsorted Array","Minimum",49
50,"Unsorted Array","Predecessor",50
50,"Unsorted Array","Successor",50
