k,n,method1_comparisons,method2_comparisons,method1_writes,method2_writes
2,10,19,19,20,20
2,20,38,38,40,40
2,50,97,97,100,100
2,100,198,198,200,200
2,200,393,393,400,400
4,10,86,74,90,80
4,20,174,155,180,160
4,50,447,397,450,400
4,100,896,793,900,800
4,200,1796,1596,1800,1600
8,10,322,228,350,240
8,20,647,466,700,480
8,50,1720,1186,1750,1200
8,100,3472,2388,3500,2400
8,200,6978,4792,7000,4800
16,10,1248,617,1350,640
16,20,2598,1252,2700,1280
16,50,6654,3175,6750,3200
16,100,13399,6361,13500,6400
16,200,26833,12765,27000,12800
32,10,4777,1535,5270,1600
32,20,10060,3137,10540,3200
32,50,25971,7957,26350,8000
32,100,52015,15934,52700,16000
32,200,104842,31938,105400,32000
64,10,19194,3719,20790,3840
64,20,39575,7565,41580,7680
64,50,102321,19087,103950,19200
64,100,205886,38260,207900,38400
64,200,413674,76681,415800,76800
