n = 1       max=876166   min=876166   | comparisons=0      | bound(ceil(3n/2)-2)=0      | OK (within bound)
n = 2       max=592740   min=128881   | comparisons=1      | bound(ceil(3n/2)-2)=1      | OK (within bound)
n = 3       max=951012   min=146758   | comparisons=3      | bound(ceil(3n/2)-2)=3      | OK (within bound)
n = 6       max=999021   min=523743   | comparisons=7      | bound(ceil(3n/2)-2)=7      | OK (within bound)
n = 10      max=976352   min=161259   | comparisons=13     | bound(ceil(3n/2)-2)=13     | OK (within bound)
n = 99      max=986734   min=1951     | comparisons=147    | bound(ceil(3n/2)-2)=147    | OK (within bound)
n = 100     max=998291   min=824      | comparisons=148    | bound(ceil(3n/2)-2)=148    | OK (within bound)
n = 1000    max=998536   min=1675     | comparisons=1498   | bound(ceil(3n/2)-2)=1498   | OK (within bound)
n = 9999    max=999915   min=23       | comparisons=14997  | bound(ceil(3n/2)-2)=14997  | OK (within bound)
n = 10000   max=999804   min=131      | comparisons=14998  | bound(ceil(3n/2)-2)=14998  | OK (within bound)
n = 100000  max=999988   min=3        | comparisons=149998 | bound(ceil(3n/2)-2)=149998 | OK (within bound)
